Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
1,22,612,1,1,1,72,7,710,1.949e-11,0.0014,0.0192458,0.5206278,0.0014,0.0014,0.0014,0.0617358,1.74e-05,1.369e-02,2.234e-09
33,1,1,402,1,1,271,7,710,1.949e-11,0.0285936,0.0014,0.0014,0.34216979999999997,0.0014,0.0014,0.230846,1.74e-05,1.465e-02,2.185e-09
1,52,130,1,524,1,1,7,710,1.949e-11,0.0014,0.044739799999999996,0.1110242,0.0014,0.4458454,0.0014,0.0014,1.74e-05,1.325e-02,2.212e-09
1,179,1,5,1,1,522,7,710,1.949e-11,0.0014,0.1526644,0.0014,0.0047992,0.0014,0.0014,0.4441458,1.74e-05,1.298e-02,2.256e-09
1,1,28,562,1,116,1,7,710,1.949e-11,0.0014,0.0014,0.0243446,0.4781378,0.0014,0.099127,0.0014,1.74e-05,1.407e-02,2.243e-09
1,404,296,1,1,6,1,7,710,1.949e-11,0.0014,0.3438694,0.252091,0.0014,0.0014,0.0056489999999999995,0.0014,1.74e-05,1.506e-02,2.109e-09
1,277,17,1,1,1,412,7,710,1.949e-11,0.0014,0.2359448,0.014996800000000001,0.0014,0.0014,0.0014,0.35066780000000003,1.74e-05,1.343e-02,2.174e-09
54,1,1,1,315,337,1,7,710,1.949e-11,0.0464394,0.0014,0.0014,0.0014,0.26823719999999995,0.2869328,0.0014,1.74e-05,1.458e-02,2.178e-09
1,342,303,1,1,1,61,7,710,1.949e-11,0.0014,0.29118179999999994,0.2580396,0.0014,0.0014,0.0014,0.052388,1.74e-05,1.534e-02,2.092e-09
518,1,26,162,1,1,1,7,710,1.949e-11,0.4407466,0.0014,0.022645,0.1382178,0.0014,0.0014,0.0014,1.74e-05,1.471e-02,2.104e-09
228,1,1,1,435,1,43,7,710,1.949e-11,0.1943046,0.0014,0.0014,0.0014,0.37021319999999996,0.0014,0.0370916,1.74e-05,1.385e-02,2.140e-09
1,1,76,573,1,1,57,7,710,1.949e-11,0.0014,0.0014,0.06513500000000001,0.48748559999999996,0.0014,0.0014,0.0489888,1.74e-05,1.366e-02,2.238e-09
1,3,1,1,689,14,1,7,710,1.949e-11,0.0014,0.0030995999999999997,0.0014,0.0014,0.5860624,0.0124474,0.0014,1.74e-05,1.301e-02,2.385e-09
1,333,316,1,57,1,1,7,710,1.949e-11,0.0014,0.2835336,0.269087,0.0014,0.0489888,0.0014,0.0014,1.74e-05,1.535e-02,2.074e-09
110,10,1,1,586,1,1,7,710,1.949e-11,0.09402820000000002,0.0090482,0.0014,0.0014,0.49853299999999995,0.0014,0.0014,1.74e-05,1.284e-02,2.238e-09
452,39,1,215,1,1,1,7,710,1.949e-11,0.3846598,0.0336924,0.0014,0.1832572,0.0014,0.0014,0.0014,1.74e-05,1.498e-02,2.086e-09
1,476,1,58,172,1,1,7,710,1.949e-11,0.0014,0.40505499999999994,0.0014,0.049838600000000004,0.1467158,0.0014,0.0014,1.74e-05,1.503e-02,2.132e-09
566,1,1,83,1,1,57,7,710,1.949e-11,0.481537,0.0014,0.0014,0.07108360000000001,0.0014,0.0014,0.0489888,1.74e-05,1.438e-02,2.141e-09
145,1,1,1,549,12,1,7,710,1.949e-11,0.12377120000000001,0.0014,0.0014,0.0014,0.4670904,0.0107478,0.0014,1.74e-05,1.311e-02,2.212e-09
1,25,1,579,102,1,1,7,710,1.949e-11,0.0014,0.021795199999999997,0.0014,0.4925844,0.08722980000000001,0.0014,0.0014,1.74e-05,1.379e-02,2.243e-09
23,1,1,1,290,1,393,7,710,1.949e-11,0.020095599999999998,0.0014,0.0014,0.0014,0.2469922,0.0014,0.3345216,1.74e-05,1.420e-02,2.230e-09
1,564,1,88,1,1,54,7,710,1.949e-11,0.0014,0.4798374,0.0014,0.0753326,0.0014,0.0014,0.0464394,1.74e-05,1.432e-02,2.167e-09
1,261,62,383,1,1,1,7,710,1.949e-11,0.0014,0.22234800000000002,0.0532378,0.32602359999999997,0.0014,0.0014,0.0014,1.74e-05,1.429e-02,2.101e-09
57,1,148,1,1,1,501,7,710,1.949e-11,0.0489888,0.0014,0.1263206,0.0014,0.0014,0.0014,0.42629999999999996,1.74e-05,1.293e-02,2.235e-09
