Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
50,1,45,1,1,36,26,7,160,1.949e-11,0.0430402,0.0014,0.0387912,0.0014,0.0014,0.031142999999999997,0.022645,1.74e-05,4.974e-03,6.041e-09
7,96,5,18,32,1,1,7,160,1.949e-11,0.006498799999999999,0.082131,0.0047992,0.015846600000000002,0.027743800000000002,0.0014,0.0014,1.74e-05,4.982e-03,6.003e-09
32,21,3,1,91,1,11,7,160,1.949e-11,0.027743800000000002,0.018396,0.0030995999999999997,0.0014,0.077882,0.0014,0.009898,1.74e-05,4.954e-03,6.028e-09
31,38,1,5,3,1,81,7,160,1.949e-11,0.026893999999999998,0.0328426,0.0014,0.0047992,0.0030995999999999997,0.0014,0.069384,1.74e-05,4.932e-03,6.067e-09
1,61,1,34,23,39,1,7,160,1.949e-11,0.0014,0.052388,0.0014,0.029443399999999998,0.020095599999999998,0.0336924,0.0014,1.74e-05,4.986e-03,6.030e-09
1,42,1,16,3,12,85,7,160,1.949e-11,0.0014,0.0362418,0.0014,0.014147,0.0030995999999999997,0.0107478,0.0727832,1.74e-05,4.947e-03,6.096e-09
1,4,59,4,59,1,32,7,160,1.949e-11,0.0014,0.0039494,0.0506884,0.0039494,0.0506884,0.0014,0.027743800000000002,1.74e-05,4.989e-03,6.071e-09
13,100,17,1,25,3,1,7,160,1.949e-11,0.0115976,0.08553020000000001,0.014996800000000001,0.0014,0.021795199999999997,0.0030995999999999997,0.0014,1.74e-05,4.975e-03,6.001e-09
39,1,1,39,30,4,46,7,160,1.949e-11,0.0336924,0.0014,0.0014,0.0336924,0.0260442,0.0039494,0.039640999999999996,1.74e-05,4.968e-03,6.064e-09
47,39,4,1,1,11,57,7,160,1.949e-11,0.0404908,0.0336924,0.0039494,0.0014,0.0014,0.009898,0.0489888,1.74e-05,4.943e-03,6.046e-09
51,57,3,1,1,17,30,7,160,1.949e-11,0.04389,0.0489888,0.0030995999999999997,0.0014,0.0014,0.014996800000000001,0.0260442,1.74e-05,4.954e-03,6.017e-09
1,32,1,1,2,91,32,7,160,1.949e-11,0.0014,0.027743800000000002,0.0014,0.0014,0.0022498,0.077882,0.027743800000000002,1.74e-05,4.971e-03,6.106e-09
61,49,42,1,3,3,1,7,160,1.949e-11,0.052388,0.042190399999999996,0.0362418,0.0014,0.0030995999999999997,0.0030995999999999997,0.0014,1.74e-05,4.965e-03,5.972e-09
3,13,47,31,1,1,64,7,160,1.949e-11,0.0030995999999999997,0.0115976,0.0404908,0.026893999999999998,0.0014,0.0014,0.0549374,1.74e-05,4.958e-03,6.070e-09
57,19,41,1,4,37,1,7,160,1.949e-11,0.0489888,0.0166964,0.035392,0.0014,0.0039494,0.0319928,0.0014,1.74e-05,4.965e-03,6.010e-09
1,4,22,1,28,66,38,7,160,1.949e-11,0.0014,0.0039494,0.0192458,0.0014,0.0243446,0.056637,0.0328426,1.74e-05,5.000e-03,6.110e-09
4,15,1,49,31,1,59,7,160,1.949e-11,0.0039494,0.0132972,0.0014,0.042190399999999996,0.026893999999999998,0.0014,0.0506884,1.74e-05,4.972e-03,6.083e-09
2,1,1,70,36,24,26,7,160,1.949e-11,0.0022498,0.0014,0.0014,0.060036200000000005,0.031142999999999997,0.0209454,0.022645,1.74e-05,5.006e-03,6.094e-09
16,75,1,1,1,15,51,7,160,1.949e-11,0.014147,0.0642852,0.0014,0.0014,0.0014,0.0132972,0.04389,1.74e-05,4.952e-03,6.055e-09
1,27,1,1,4,30,96,7,160,1.949e-11,0.0014,0.0234948,0.0014,0.0014,0.0039494,0.0260442,0.082131,1.74e-05,4.950e-03,6.073e-09
1,1,25,93,26,13,1,7,160,1.949e-11,0.0014,0.0014,0.021795199999999997,0.07958160000000002,0.022645,0.0115976,0.0014,1.74e-05,4.989e-03,6.063e-09
