Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
70,75,55,3,200,1e-12,0.060036200000000005,0.0642852,0.0472892,6.800000000000001e-07,1.720e-03,7.221e-10
135,59,6,3,200,1e-12,0.1152732,0.0506884,0.0056489999999999995,6.800000000000001e-07,1.820e-03,7.331e-10
137,62,1,3,200,1e-12,0.11697280000000002,0.0532378,0.0014,6.800000000000001e-07,1.821e-03,7.340e-10
78,113,9,3,200,1e-12,0.06683460000000001,0.0965776,0.0081984,6.800000000000001e-07,1.714e-03,7.205e-10
30,129,41,3,200,1e-12,0.0260442,0.1101744,0.035392,6.800000000000001e-07,1.687e-03,7.378e-10
99,62,39,3,200,1e-12,0.0846804,0.0532378,0.0336924,6.800000000000001e-07,1.781e-03,7.243e-10
155,24,21,3,200,1e-12,0.1322692,0.0209454,0.018396,6.800000000000001e-07,1.802e-03,7.396e-10
75,84,41,3,200,1e-12,0.0642852,0.07193340000000001,0.035392,6.800000000000001e-07,1.729e-03,7.231e-10
131,3,66,3,200,1e-12,0.11187400000000002,0.0030995999999999997,0.056637,6.800000000000001e-07,1.692e-03,7.359e-10
136,9,55,3,200,1e-12,0.116123,0.0081984,0.0472892,6.800000000000001e-07,1.728e-03,7.359e-10
49,78,73,3,200,1e-12,0.042190399999999996,0.06683460000000001,0.0625856,6.800000000000001e-07,1.662e-03,7.243e-10
65,76,59,3,200,1e-12,0.0557872,0.06513500000000001,0.0506884,6.800000000000001e-07,1.707e-03,7.217e-10
107,87,6,3,200,1e-12,0.09147880000000001,0.07448280000000002,0.0056489999999999995,6.800000000000001e-07,1.781e-03,7.274e-10
69,121,10,3,200,1e-12,0.0591864,0.10337600000000001,0.0090482,6.800000000000001e-07,1.694e-03,7.242e-10
34,54,112,3,200,1e-12,0.029443399999999998,0.0464394,0.0957278,6.800000000000001e-07,1.596e-03,7.294e-10
54,111,35,3,200,1e-12,0.0464394,0.094878,0.0302932,6.800000000000001e-07,1.676e-03,7.265e-10
