Stage1,Stage2,Stage3,Stages,Switches,Cap,Slew1,Slew2,Slew3,Ileak,MaxI,EndTime
24,145,51,3,220,1.0198e-11,0.0209454,0.12377120000000001,0.04389,4.6999999999999995e-07,6.127e-03,2.705e-09
7,43,170,3,220,1.0198e-11,0.006498799999999999,0.0370916,0.1450162,4.6999999999999995e-07,5.974e-03,2.748e-09
38,36,146,3,220,1.0198e-11,0.0328426,0.031142999999999997,0.12462100000000001,4.6999999999999995e-07,6.022e-03,2.713e-09
36,165,19,3,220,1.0198e-11,0.031142999999999997,0.1407672,0.0166964,4.6999999999999995e-07,6.024e-03,2.699e-09
61,58,101,3,220,1.0198e-11,0.052388,0.049838600000000004,0.08638000000000001,4.6999999999999995e-07,6.140e-03,2.686e-09
2,101,117,3,220,1.0198e-11,0.0022498,0.08638000000000001,0.09997680000000002,4.6999999999999995e-07,6.133e-03,2.711e-09
132,4,84,3,220,1.0198e-11,0.11272380000000001,0.0039494,0.07193340000000001,4.6999999999999995e-07,6.153e-03,2.690e-09
120,13,87,3,220,1.0198e-11,0.10252620000000001,0.0115976,0.07448280000000002,4.6999999999999995e-07,6.155e-03,2.681e-09
136,47,37,3,220,1.0198e-11,0.116123,0.0404908,0.0319928,4.6999999999999995e-07,6.209e-03,2.668e-09
64,80,76,3,220,1.0198e-11,0.0549374,0.06853420000000002,0.06513500000000001,4.6999999999999995e-07,6.214e-03,2.679e-09
27,167,26,3,220,1.0198e-11,0.0234948,0.1424668,0.022645,4.6999999999999995e-07,6.025e-03,2.693e-09
124,95,1,3,220,1.0198e-11,0.10592540000000002,0.08128120000000001,0.0014,4.6999999999999995e-07,6.171e-03,2.667e-09
49,161,10,3,220,1.0198e-11,0.042190399999999996,0.137368,0.0090482,4.6999999999999995e-07,6.020e-03,2.705e-09
176,19,25,3,220,1.0198e-11,0.150115,0.0166964,0.021795199999999997,4.6999999999999995e-07,6.046e-03,2.697e-09
73,96,51,3,220,1.0198e-11,0.0625856,0.082131,0.04389,4.6999999999999995e-07,6.239e-03,2.669e-09
31,97,92,3,220,1.0198e-11,0.026893999999999998,0.08298080000000001,0.0787318,4.6999999999999995e-07,6.182e-03,2.697e-09
71,58,91,3,220,1.0198e-11,0.060885999999999996,0.049838600000000004,0.077882,4.6999999999999995e-07,6.170e-03,2.684e-09
36,18,166,3,220,1.0198e-11,0.031142999999999997,0.015846600000000002,0.14161700000000002,4.6999999999999995e-07,5.974e-03,2.718e-09
45,23,152,3,220,1.0198e-11,0.0387912,0.020095599999999998,0.1297198,4.6999999999999995e-07,5.997e-03,2.722e-09
204,8,8,3,220,1.0198e-11,0.17390940000000002,0.007348599999999999,0.007348599999999999,4.6999999999999995e-07,5.935e-03,2.713e-09
22,167,31,3,220,1.0198e-11,0.0192458,0.1424668,0.026893999999999998,4.6999999999999995e-07,6.033e-03,2.720e-09
48,92,80,3,220,1.0198e-11,0.041340600000000005,0.0787318,0.06853420000000002,4.6999999999999995e-07,6.203e-03,2.681e-09
25,192,3,3,220,1.0198e-11,0.021795199999999997,0.16371180000000002,0.0030995999999999997,4.6999999999999995e-07,5.936e-03,2.734e-09
85,116,19,3,220,1.0198e-11,0.0727832,0.099127,0.0166964,4.6999999999999995e-07,6.157e-03,2.676e-09
34,157,29,3,220,1.0198e-11,0.029443399999999998,0.13396880000000003,0.0251944,4.6999999999999995e-07,6.059e-03,2.700e-09
36,21,163,3,220,1.0198e-11,0.031142999999999997,0.018396,0.1390676,4.6999999999999995e-07,5.973e-03,2.726e-09
61,36,123,3,220,1.0198e-11,0.052388,0.031142999999999997,0.1050756,4.6999999999999995e-07,6.079e-03,2.699e-09
45,40,135,3,220,1.0198e-11,0.0387912,0.0345422,0.1152732,4.6999999999999995e-07,6.052e-03,2.710e-09
20,124,76,3,220,1.0198e-11,0.017546199999999998,0.10592540000000002,0.06513500000000001,4.6999999999999995e-07,6.186e-03,2.700e-09
52,158,10,3,220,1.0198e-11,0.044739799999999996,0.1348186,0.0090482,4.6999999999999995e-07,6.028e-03,2.679e-09
17,164,39,3,220,1.0198e-11,0.014996800000000001,0.13991740000000003,0.0336924,4.6999999999999995e-07,6.057e-03,2.720e-09
59,10,151,3,220,1.0198e-11,0.0506884,0.0090482,0.12887,4.6999999999999995e-07,6.006e-03,2.710e-09
84,131,5,3,220,1.0198e-11,0.07193340000000001,0.11187400000000002,0.0047992,4.6999999999999995e-07,6.099e-03,2.686e-09
139,22,59,3,220,1.0198e-11,0.11867240000000001,0.0192458,0.0506884,4.6999999999999995e-07,6.178e-03,2.681e-09
49,51,120,3,220,1.0198e-11,0.042190399999999996,0.04389,0.10252620000000001,4.6999999999999995e-07,6.092e-03,2.699e-09
82,84,54,3,220,1.0198e-11,0.0702338,0.07193340000000001,0.0464394,4.6999999999999995e-07,6.249e-03,2.675e-09
9,182,29,3,220,1.0198e-11,0.0081984,0.15521379999999999,0.0251944,4.6999999999999995e-07,6.002e-03,2.722e-09
116,1,103,3,220,1.0198e-11,0.099127,0.0014,0.08807960000000001,4.6999999999999995e-07,6.118e-03,2.677e-09
6,26,188,3,220,1.0198e-11,0.0056489999999999995,0.022645,0.1603126,4.6999999999999995e-07,5.933e-03,2.764e-09
55,162,3,3,220,1.0198e-11,0.0472892,0.1382178,0.0030995999999999997,4.6999999999999995e-07,6.006e-03,2.697e-09
9,105,106,3,220,1.0198e-11,0.0081984,0.0897792,0.090629,4.6999999999999995e-07,6.158e-03,2.709e-09
28,82,110,3,220,1.0198e-11,0.0243446,0.0702338,0.09402820000000002,4.6999999999999995e-07,6.131e-03,2.691e-09
39,13,168,3,220,1.0198e-11,0.0336924,0.0115976,0.1433166,4.6999999999999995e-07,5.960e-03,2.740e-09
41,39,140,3,220,1.0198e-11,0.035392,0.0336924,0.11952220000000001,4.6999999999999995e-07,6.039e-03,2.708e-09
138,7,75,3,220,1.0198e-11,0.11782260000000001,0.006498799999999999,0.0642852,4.6999999999999995e-07,6.158e-03,2.682e-09
98,49,73,3,220,1.0198e-11,0.0838306,0.042190399999999996,0.0625856,4.6999999999999995e-07,6.210e-03,2.678e-09
84,10,126,3,220,1.0198e-11,0.07193340000000001,0.0090482,0.107625,4.6999999999999995e-07,6.067e-03,2.702e-09
28,85,107,3,220,1.0198e-11,0.0243446,0.0727832,0.09147880000000001,4.6999999999999995e-07,6.141e-03,2.696e-09
114,62,44,3,220,1.0198e-11,0.09742740000000001,0.0532378,0.0379414,4.6999999999999995e-07,6.256e-03,2.667e-09
101,5,114,3,220,1.0198e-11,0.08638000000000001,0.0047992,0.09742740000000001,4.6999999999999995e-07,6.098e-03,2.693e-09
6,202,12,3,220,1.0198e-11,0.0056489999999999995,0.1722098,0.0107478,4.6999999999999995e-07,5.919e-03,2.734e-09
65,144,11,3,220,1.0198e-11,0.0557872,0.12292140000000001,0.009898,4.6999999999999995e-07,6.069e-03,2.683e-09
37,40,143,3,220,1.0198e-11,0.0319928,0.0345422,0.1220716,4.6999999999999995e-07,6.030e-03,2.695e-09
84,13,123,3,220,1.0198e-11,0.07193340000000001,0.0115976,0.1050756,4.6999999999999995e-07,6.074e-03,2.700e-09
32,139,49,3,220,1.0198e-11,0.027743800000000002,0.11867240000000001,0.042190399999999996,4.6999999999999995e-07,6.137e-03,2.694e-09
158,1,61,3,220,1.0198e-11,0.1348186,0.0014,0.052388,4.6999999999999995e-07,6.122e-03,2.693e-09
40,2,178,3,220,1.0198e-11,0.0345422,0.0022498,0.15181460000000002,4.6999999999999995e-07,5.937e-03,2.728e-09
154,54,12,3,220,1.0198e-11,0.1314194,0.0464394,0.0107478,4.6999999999999995e-07,6.130e-03,2.680e-09
52,19,149,3,220,1.0198e-11,0.044739799999999996,0.0166964,0.12717040000000002,4.6999999999999995e-07,6.008e-03,2.713e-09
26,82,112,3,220,1.0198e-11,0.022645,0.0702338,0.0957278,4.6999999999999995e-07,6.126e-03,2.695e-09
93,32,95,3,220,1.0198e-11,0.07958160000000002,0.027743800000000002,0.08128120000000001,4.6999999999999995e-07,6.150e-03,2.686e-09
91,95,34,3,220,1.0198e-11,0.077882,0.08128120000000001,0.029443399999999998,4.6999999999999995e-07,6.232e-03,2.659e-09
160,18,42,3,220,1.0198e-11,0.1365182,0.015846600000000002,0.0362418,4.6999999999999995e-07,6.116e-03,2.687e-09
158,28,34,3,220,1.0198e-11,0.1348186,0.0243446,0.029443399999999998,4.6999999999999995e-07,6.121e-03,2.678e-09
33,100,87,3,220,1.0198e-11,0.0285936,0.08553020000000001,0.07448280000000002,4.6999999999999995e-07,6.185e-03,2.689e-09
107,2,111,3,220,1.0198e-11,0.09147880000000001,0.0022498,0.094878,4.6999999999999995e-07,6.106e-03,2.693e-09
196,22,2,3,220,1.0198e-11,0.167111,0.0192458,0.0022498,4.6999999999999995e-07,5.958e-03,2.703e-09
