Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
1,199,1,165,133,1,6,500,2.7829999999999998e-12,0.0014,0.16966040000000002,0.0014,0.1407672,0.1135736,0.0014,3.0399999999999997e-06,3.946e-03,8.908e-10
1,1,133,306,58,1,6,500,2.7829999999999998e-12,0.0014,0.0014,0.1135736,0.260589,0.049838600000000004,0.0014,3.0399999999999997e-06,3.723e-03,9.330e-10
1,86,1,1,375,36,6,500,2.7829999999999998e-12,0.0014,0.07363300000000002,0.0014,0.0014,0.3192252,0.031142999999999997,3.0399999999999997e-06,3.347e-03,9.523e-10
436,42,1,1,1,19,6,500,2.7829999999999998e-12,0.371063,0.0362418,0.0014,0.0014,0.0014,0.0166964,3.0399999999999997e-06,4.027e-03,9.153e-10
1,51,1,1,132,314,6,500,2.7829999999999998e-12,0.0014,0.04389,0.0014,0.0014,0.11272380000000001,0.26738739999999994,3.0399999999999997e-06,3.319e-03,9.508e-10
360,115,1,22,1,1,6,500,2.7829999999999998e-12,0.3064782,0.09827720000000001,0.0014,0.0192458,0.0014,0.0014,3.0399999999999997e-06,4.283e-03,8.868e-10
1,1,1,50,321,126,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.0430402,0.27333599999999997,0.107625,3.0399999999999997e-06,3.881e-03,9.967e-10
1,1,1,302,6,189,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.2571898,0.0056489999999999995,0.1611624,3.0399999999999997e-06,3.988e-03,9.947e-10
1,1,1,94,382,21,6,500,2.7829999999999998e-12,0.0014,0.0014,0.0014,0.08043140000000001,0.32517379999999996,0.018396,3.0399999999999997e-06,3.594e-03,9.942e-10
1,258,1,18,1,221,6,500,2.7829999999999998e-12,0.0014,0.2197986,0.0014,0.015846600000000002,0.0014,0.188356,3.0399999999999997e-06,3.837e-03,9.159e-10
1,22,365,1,110,1,6,500,2.7829999999999998e-12,0.0014,0.0192458,0.3107272,0.0014,0.09402820000000002,0.0014,3.0399999999999997e-06,3.920e-03,9.547e-10
1,1,93,239,165,1,6,500,2.7829999999999998e-12,0.0014,0.0014,0.07958160000000002,0.2036524,0.1407672,0.0014,3.0399999999999997e-06,3.777e-03,9.255e-10
337,1,36,1,124,1,6,500,2.7829999999999998e-12,0.2869328,0.0014,0.031142999999999997,0.0014,0.10592540000000002,0.0014,3.0399999999999997e-06,4.029e-03,8.870e-10
11,1,1,278,1,208,6,500,2.7829999999999998e-12,0.009898,0.0014,0.0014,0.2367946,0.0014,0.1773086,3.0399999999999997e-06,3.814e-03,9.735e-10
1,169,192,136,1,1,6,500,2.7829999999999998e-12,0.0014,0.1441664,0.16371180000000002,0.116123,0.0014,0.0014,3.0399999999999997e-06,4.029e-03,8.786e-10
1,1,240,1,66,191,6,500,2.7829999999999998e-12,0.0014,0.0014,0.20450220000000002,0.0014,0.056637,0.162862,3.0399999999999997e-06,4.048e-03,9.348e-10
282,70,145,1,1,1,6,500,2.7829999999999998e-12,0.2401938,0.060036200000000005,0.12377120000000001,0.0014,0.0014,0.0014,3.0399999999999997e-06,4.166e-03,8.581e-10
