Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stage7,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Slew7,Ileak,MaxI,EndTime
45,1,1,874,1,1,7,7,930,2.1999999999999998e-11,0.0387912,0.0014,0.0014,0.7432754,0.0014,0.0014,0.006498799999999999,2.3709999999999998e-05,1.441e-02,2.258e-09
1,1,1,529,370,27,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.45009439999999995,0.31497619999999993,0.0234948,0.0014,2.3709999999999998e-05,1.754e-02,2.091e-09
1,242,1,644,1,1,40,7,930,2.1999999999999998e-11,0.0014,0.2062018,0.0014,0.5478213999999999,0.0014,0.0014,0.0345422,2.3709999999999998e-05,1.557e-02,2.089e-09
1,584,1,1,42,1,300,7,930,2.1999999999999998e-11,0.0014,0.4968334,0.0014,0.0014,0.0362418,0.0014,0.2554902,2.3709999999999998e-05,1.689e-02,2.061e-09
48,1,1,15,863,1,1,7,930,2.1999999999999998e-11,0.041340600000000005,0.0014,0.0014,0.0132972,0.7339276,0.0014,0.0014,2.3709999999999998e-05,1.444e-02,2.295e-09
1,292,1,15,1,619,1,7,930,2.1999999999999998e-11,0.0014,0.24869180000000002,0.0014,0.0132972,0.0014,0.5265764,0.0014,2.3709999999999998e-05,1.486e-02,2.114e-09
448,1,1,37,1,1,441,7,930,2.1999999999999998e-11,0.38126059999999995,0.0014,0.0014,0.0319928,0.0014,0.0014,0.375312,2.3709999999999998e-05,1.561e-02,2.050e-09
638,1,1,1,276,12,1,7,930,2.1999999999999998e-11,0.5427225999999999,0.0014,0.0014,0.0014,0.235095,0.0107478,0.0014,2.3709999999999998e-05,1.709e-02,2.042e-09
540,1,354,1,1,1,32,7,930,2.1999999999999998e-11,0.45944219999999997,0.0014,0.30137939999999996,0.0014,0.0014,0.0014,0.027743800000000002,2.3709999999999998e-05,1.759e-02,2.002e-09
372,1,38,516,1,1,1,7,930,2.1999999999999998e-11,0.3166758,0.0014,0.0328426,0.43904699999999997,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.595e-02,2.015e-09
1,553,38,1,1,335,1,7,930,2.1999999999999998e-11,0.0014,0.4704896,0.0328426,0.0014,0.0014,0.28523319999999996,0.0014,2.3709999999999998e-05,1.681e-02,2.058e-09
78,1,1,1,844,1,4,7,930,2.1999999999999998e-11,0.06683460000000001,0.0014,0.0014,0.0014,0.7177814,0.0014,0.0039494,2.3709999999999998e-05,1.440e-02,2.263e-09
12,1,1,1,1,92,822,7,930,2.1999999999999998e-11,0.0107478,0.0014,0.0014,0.0014,0.0014,0.0787318,0.6990858,2.3709999999999998e-05,1.455e-02,2.334e-09
1,1,367,537,1,22,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.31242679999999995,0.4568928,0.0014,0.0192458,0.0014,2.3709999999999998e-05,1.660e-02,2.067e-09
44,1,728,154,1,1,1,7,930,2.1999999999999998e-11,0.0379414,0.0014,0.6192046,0.1314194,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.602e-02,2.123e-09
495,1,428,1,3,1,1,7,930,2.1999999999999998e-11,0.4212012,0.0014,0.3642646,0.0014,0.0030995999999999997,0.0014,0.0014,2.3709999999999998e-05,1.705e-02,1.997e-09
34,1,519,1,1,1,373,7,930,2.1999999999999998e-11,0.029443399999999998,0.0014,0.44159639999999994,0.0014,0.0014,0.0014,0.3175256,2.3709999999999998e-05,1.660e-02,2.083e-09
1,1,269,1,1,628,29,7,930,2.1999999999999998e-11,0.0014,0.0014,0.2291464,0.0014,0.0014,0.5342246,0.0251944,2.3709999999999998e-05,1.529e-02,2.142e-09
1,582,43,1,1,301,1,7,930,2.1999999999999998e-11,0.0014,0.49513379999999996,0.0370916,0.0014,0.0014,0.25633999999999996,0.0014,2.3709999999999998e-05,1.701e-02,2.056e-09
560,1,1,4,362,1,1,7,930,2.1999999999999998e-11,0.4764382,0.0014,0.0014,0.0039494,0.3081778,0.0014,0.0014,2.3709999999999998e-05,1.679e-02,2.031e-09
1,1,1,743,1,172,11,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.6319516,0.0014,0.1467158,0.009898,2.3709999999999998e-05,1.634e-02,2.181e-09
1,163,1,722,1,41,1,7,930,2.1999999999999998e-11,0.0014,0.1390676,0.0014,0.6141057999999999,0.0014,0.035392,0.0014,2.3709999999999998e-05,1.513e-02,2.128e-09
1,11,1,684,231,1,1,7,930,2.1999999999999998e-11,0.0014,0.009898,0.0014,0.5818134,0.19685400000000003,0.0014,0.0014,2.3709999999999998e-05,1.678e-02,2.139e-09
1,126,1,1,18,1,782,7,930,2.1999999999999998e-11,0.0014,0.107625,0.0014,0.0014,0.015846600000000002,0.0014,0.6650938,2.3709999999999998e-05,1.423e-02,2.262e-09
793,19,114,1,1,1,1,7,930,2.1999999999999998e-11,0.6744416,0.0166964,0.09742740000000001,0.0014,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.578e-02,2.099e-09
1,1,1,590,328,8,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.5019321999999999,0.27928459999999994,0.007348599999999999,0.0014,2.3709999999999998e-05,1.741e-02,2.114e-09
1,1,1,1,20,789,117,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.0014,0.017546199999999998,0.6710423999999999,0.09997680000000002,2.3709999999999998e-05,1.555e-02,2.287e-09
682,40,1,1,204,1,1,7,930,2.1999999999999998e-11,0.5801138,0.0345422,0.0014,0.0014,0.17390940000000002,0.0014,0.0014,2.3709999999999998e-05,1.694e-02,2.046e-09
1,497,1,1,1,42,387,7,930,2.1999999999999998e-11,0.0014,0.4229008,0.0014,0.0014,0.0014,0.0362418,0.3294228,2.3709999999999998e-05,1.641e-02,2.062e-09
33,195,1,1,698,1,1,7,930,2.1999999999999998e-11,0.0285936,0.1662612,0.0014,0.0014,0.5937106,0.0014,0.0014,2.3709999999999998e-05,1.448e-02,2.137e-09
8,136,1,1,782,1,1,7,930,2.1999999999999998e-11,0.007348599999999999,0.116123,0.0014,0.0014,0.6650938,0.0014,0.0014,2.3709999999999998e-05,1.443e-02,2.214e-09
1,1,1,4,911,11,1,7,930,2.1999999999999998e-11,0.0014,0.0014,0.0014,0.0039494,0.774718,0.009898,0.0014,2.3709999999999998e-05,1.461e-02,2.349e-09
6,345,1,575,1,1,1,7,930,2.1999999999999998e-11,0.0056489999999999995,0.2937312,0.0014,0.4891852,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.586e-02,2.057e-09
146,741,39,1,1,1,1,7,930,2.1999999999999998e-11,0.12462100000000001,0.6302519999999999,0.0336924,0.0014,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.516e-02,2.069e-09
1,1,496,1,1,389,41,7,930,2.1999999999999998e-11,0.0014,0.0014,0.422051,0.0014,0.0014,0.3311224,0.035392,2.3709999999999998e-05,1.725e-02,2.074e-09
43,1,1,640,243,1,1,7,930,2.1999999999999998e-11,0.0370916,0.0014,0.0014,0.5444222,0.2070516,0.0014,0.0014,2.3709999999999998e-05,1.690e-02,2.115e-09
19,1,1,273,1,634,1,7,930,2.1999999999999998e-11,0.0166964,0.0014,0.0014,0.23254560000000002,0.0014,0.5393234,0.0014,2.3709999999999998e-05,1.521e-02,2.143e-09
1,631,292,1,1,1,3,7,930,2.1999999999999998e-11,0.0014,0.536774,0.24869180000000002,0.0014,0.0014,0.0014,0.0030995999999999997,2.3709999999999998e-05,1.721e-02,2.053e-09
536,1,19,1,371,1,1,7,930,2.1999999999999998e-11,0.456043,0.0014,0.0166964,0.0014,0.315826,0.0014,0.0014,2.3709999999999998e-05,1.674e-02,2.026e-09
1,1,878,1,1,15,33,7,930,2.1999999999999998e-11,0.0014,0.0014,0.7466746,0.0014,0.0014,0.0132972,0.0285936,2.3709999999999998e-05,1.482e-02,2.252e-09
1,666,223,37,1,1,1,7,930,2.1999999999999998e-11,0.0014,0.5665169999999999,0.1900556,0.0319928,0.0014,0.0014,0.0014,2.3709999999999998e-05,1.712e-02,2.058e-09
1,344,1,1,1,560,22,7,930,2.1999999999999998e-11,0.0014,0.2928814,0.0014,0.0014,0.0014,0.4764382,0.0192458,2.3709999999999998e-05,1.545e-02,2.081e-09
1,1,561,33,1,1,332,7,930,2.1999999999999998e-11,0.0014,0.0014,0.477288,0.0285936,0.0014,0.0014,0.2826838,2.3709999999999998e-05,1.690e-02,2.099e-09
