Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
6,104,8,5,12,10,6,145,2.783e-12,0.0056489999999999995,0.0889294,0.007348599999999999,0.0047992,0.0107478,0.0090482,3.04e-6,3.008e-03,1.483e-09
14,21,25,7,38,40,6,145,2.783e-12,0.0124474,0.018396,0.021795199999999997,0.006498799999999999,0.0328426,0.0345422,3.04e-6,2.805e-03,1.466e-09
29,31,24,50,4,7,6,145,2.783e-12,0.0251944,0.026893999999999998,0.0209454,0.0430402,0.0039494,0.006498799999999999,3.04e-6,3.017e-03,1.467e-09
9,18,50,36,8,24,6,145,2.783e-12,0.0081984,0.015846600000000002,0.0430402,0.031142999999999997,0.007348599999999999,0.0209454,3.04e-6,2.936e-03,1.472e-09
30,30,3,42,37,3,6,145,2.783e-12,0.0260442,0.0260442,0.0030995999999999997,0.0362418,0.0319928,0.0030995999999999997,3.04e-6,2.943e-03,1.458e-09
4,13,7,75,26,20,6,145,2.783e-12,0.0039494,0.0115976,0.006498799999999999,0.0642852,0.022645,0.017546199999999998,3.04e-6,2.954e-03,1.473e-09
41,17,7,34,19,27,6,145,2.783e-12,0.035392,0.014996800000000001,0.006498799999999999,0.029443399999999998,0.0166964,0.0234948,3.04e-6,2.812e-03,1.455e-09
89,2,6,19,7,22,6,145,2.783e-12,0.0761824,0.0022498,0.0056489999999999995,0.0166964,0.006498799999999999,0.0192458,3.04e-6,2.820e-03,1.452e-09
10,3,8,2,72,50,6,145,2.783e-12,0.0090482,0.0030995999999999997,0.007348599999999999,0.0022498,0.0617358,0.0430402,3.04e-6,3.258e-03,1.466e-09
8,5,45,6,70,11,6,145,2.783e-12,0.007348599999999999,0.0047992,0.0387912,0.0056489999999999995,0.060036200000000005,0.009898,3.04e-6,2.939e-03,1.483e-09
3,6,29,1,60,46,6,145,2.783e-12,0.0030995999999999997,0.0056489999999999995,0.0251944,0.0014,0.0515382,0.039640999999999996,3.04e-6,2.856e-03,1.481e-09
10,12,21,35,20,47,6,145,2.783e-12,0.0090482,0.0107478,0.018396,0.0302932,0.017546199999999998,0.0404908,3.04e-6,2.787e-03,1.468e-09
17,70,18,23,2,15,6,145,2.783e-12,0.014996800000000001,0.060036200000000005,0.015846600000000002,0.020095599999999998,0.0022498,0.0132972,3.04e-6,2.979e-03,1.463e-09
35,16,22,15,28,29,6,145,2.783e-12,0.0302932,0.014147,0.0192458,0.0132972,0.0243446,0.0251944,3.04e-6,2.811e-03,1.451e-09
2,24,51,25,11,32,6,145,2.783e-12,0.0022498,0.0209454,0.04389,0.021795199999999997,0.009898,0.027743800000000002,3.04e-6,2.897e-03,1.467e-09
18,2,59,19,46,1,6,145,2.783e-12,0.015846600000000002,0.0022498,0.0506884,0.0166964,0.039640999999999996,0.0014,3.04e-6,3.028e-03,1.482e-09
14,20,6,25,14,66,6,145,2.783e-12,0.0124474,0.017546199999999998,0.0056489999999999995,0.021795199999999997,0.0124474,0.056637,3.04e-6,2.741e-03,1.467e-09
43,4,26,42,7,23,6,145,2.783e-12,0.0370916,0.0039494,0.022645,0.0362418,0.006498799999999999,0.020095599999999998,3.04e-6,2.862e-03,1.462e-09
35,3,18,10,70,9,6,145,2.783e-12,0.0302932,0.0030995999999999997,0.015846600000000002,0.0090482,0.060036200000000005,0.0081984,3.04e-6,2.920e-03,1.465e-09
54,27,18,12,28,6,6,145,2.783e-12,0.0464394,0.0234948,0.015846600000000002,0.0107478,0.0243446,0.0056489999999999995,3.04e-6,2.902e-03,1.452e-09
7,15,43,45,14,21,6,145,2.783e-12,0.006498799999999999,0.0132972,0.0370916,0.0387912,0.0124474,0.018396,3.04e-6,2.953e-03,1.477e-09
24,15,65,12,4,25,6,145,2.783e-12,0.0209454,0.0132972,0.0557872,0.0107478,0.0039494,0.021795199999999997,3.04e-6,2.913e-03,1.473e-09
13,35,9,15,19,54,6,145,2.783e-12,0.0115976,0.0302932,0.0081984,0.0132972,0.0166964,0.0464394,3.04e-6,2.730e-03,1.456e-09
18,15,4,29,5,74,6,145,2.783e-12,0.015846600000000002,0.0132972,0.0039494,0.0251944,0.0047992,0.0634354,3.04e-6,2.810e-03,1.467e-09
48,7,10,40,15,25,6,145,2.783e-12,0.041340600000000005,0.006498799999999999,0.0090482,0.0345422,0.0132972,0.021795199999999997,3.04e-6,2.827e-03,1.451e-09
