Stage1,Stage2,Stage3,Stage4,Stage5,Stage6,Stages,Switches,Cap,Slew1,Slew2,Slew3,Slew4,Slew5,Slew6,Ileak,MaxI,EndTime
52,27,37,1,1,22,6,140,6.13e-12,0.044739799999999996,0.0234948,0.0319928,0.0014,0.0014,0.0192458,6.57e-6,3.844e-03,2.552e-09
9,18,19,53,25,16,6,140,6.13e-12,0.0081984,0.015846600000000002,0.0166964,0.0455896,0.021795199999999997,0.014147,6.57e-6,3.899e-03,2.564e-09
3,52,78,1,3,3,6,140,6.13e-12,0.0030995999999999997,0.044739799999999996,0.06683460000000001,0.0014,0.0030995999999999997,0.0030995999999999997,6.57e-6,3.933e-03,2.579e-09
10,10,35,26,14,45,6,140,6.13e-12,0.0090482,0.0090482,0.0302932,0.022645,0.0124474,0.0387912,6.57e-6,3.826e-03,2.570e-09
31,12,37,1,2,57,6,140,6.13e-12,0.026893999999999998,0.0107478,0.0319928,0.0014,0.0022498,0.0489888,6.57e-6,3.779e-03,2.561e-09
10,15,19,15,5,76,6,140,6.13e-12,0.0090482,0.0132972,0.0166964,0.0132972,0.0047992,0.06513500000000001,6.57e-6,3.741e-03,2.582e-09
7,79,1,3,8,42,6,140,6.13e-12,0.006498799999999999,0.0676844,0.0014,0.0030995999999999997,0.007348599999999999,0.0362418,6.57e-6,3.816e-03,2.573e-09
42,39,20,8,2,29,6,140,6.13e-12,0.0362418,0.0336924,0.017546199999999998,0.007348599999999999,0.0022498,0.0251944,6.57e-6,3.828e-03,2.529e-09
10,4,85,22,17,2,6,140,6.13e-12,0.0090482,0.0039494,0.0727832,0.0192458,0.014996800000000001,0.0022498,6.57e-6,3.949e-03,2.580e-09
14,34,26,22,12,32,6,140,6.13e-12,0.0124474,0.029443399999999998,0.022645,0.0192458,0.0107478,0.027743800000000002,6.57e-6,3.848e-03,2.554e-09
17,38,44,8,24,9,6,140,6.13e-12,0.014996800000000001,0.0328426,0.0379414,0.007348599999999999,0.0209454,0.0081984,6.57e-6,3.906e-03,2.549e-09
3,10,16,21,1,89,6,140,6.13e-12,0.0030995999999999997,0.0090482,0.014147,0.018396,0.0014,0.0761824,6.57e-6,3.719e-03,2.582e-09
1,14,14,37,56,18,6,140,6.13e-12,0.0014,0.0124474,0.0124474,0.0319928,0.048138999999999994,0.015846600000000002,6.57e-6,3.871e-03,2.559e-09
57,36,1,38,1,7,6,140,6.13e-12,0.0489888,0.031142999999999997,0.0014,0.0328426,0.0014,0.006498799999999999,6.57e-6,3.880e-03,2.529e-09
24,57,9,26,6,18,6,140,6.13e-12,0.0209454,0.0489888,0.0081984,0.022645,0.0056489999999999995,0.015846600000000002,6.57e-6,3.867e-03,2.541e-09
3,64,15,33,4,21,6,140,6.13e-12,0.0030995999999999997,0.0549374,0.0132972,0.0285936,0.0039494,0.018396,6.57e-6,3.881e-03,2.570e-09
47,23,21,16,17,16,6,140,6.13e-12,0.0404908,0.020095599999999998,0.018396,0.014147,0.014996800000000001,0.014147,6.57e-6,3.862e-03,2.552e-09
